INFO 2021-06-08 09:26:33,153 basehttp 161 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2021-06-08 09:26:33,154 basehttp 161 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2021-06-08 09:26:33,155 basehttp 161 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2021-06-08 09:26:33,158 basehttp 161 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2021-06-08 09:26:33,172 basehttp 161 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2021-06-08 09:26:33,177 basehttp 161 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2021-06-08 09:26:33,187 basehttp 161 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2021-06-08 09:26:33,201 basehttp 161 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2021-06-08 09:26:44,950 log 230 Method Not Allowed: /api/v1/email/
WARNING 2021-06-08 09:26:44,951 basehttp 161 "GET /api/v1/email/ HTTP/1.1" 405 7550
WARNING 2021-06-08 09:26:46,437 log 230 Method Not Allowed: /api/v1/email/
WARNING 2021-06-08 09:26:46,439 basehttp 161 "GET /api/v1/email/ HTTP/1.1" 405 7550
WARNING 2021-06-08 09:26:49,068 log 230 Not Found: /api/v1/email/1
WARNING 2021-06-08 09:26:49,069 basehttp 161 "GET /api/v1/email/1 HTTP/1.1" 404 12639
INFO 2021-06-08 09:26:55,473 basehttp 161 "GET /api/v1/contests HTTP/1.1" 301 0
INFO 2021-06-08 09:26:55,572 basehttp 161 "GET /api/v1/contests/ HTTP/1.1" 200 6742
INFO 2021-06-08 09:26:55,737 basehttp 161 "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
INFO 2021-06-08 09:26:57,628 basehttp 161 "GET /api/v1/contests/ HTTP/1.1" 200 6742
INFO 2021-06-08 09:27:17,393 basehttp 161 "OPTIONS /api/v1/contests/ HTTP/1.1" 200 5923
